Animal ID,Name,DateTime,MonthYear,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Sex upon Outcome,Age upon Outcome,Breed,Color,Age in Days
A674716,*Balsamic,06/16/2014 05:54:00 PM,Jun 2014,03/17/2013,Transfer,Partner,3,1,1 year,Silver Mix,Brown,0.12121212121212122
A694709,Mackenzie,09/22/2019 12:04:00 PM,Sep 2019,01/02/2013,Euthanasia,Suffering,2,3,6 years,Chow Chow Mix,Red,0.2727272727272727
A805656,*Valerie,11/07/2019 11:15:00 AM,Nov 2019,08/21/2019,Adoption,Foster,1,3,2 months,Domestic Shorthair,Calico,0.09589041095890412
A874793,*Corduroy,03/12/2023 05:22:00 PM,Mar 2023,01/03/2023,Adoption,Foster,1,2,2 months,Domestic Shorthair,Brown Tabby/White,0.09589041095890412
A776498,Honey,07/15/2018 05:27:00 PM,Jul 2018,11/14/2017,Return to Owner,Foster,2,0,7 months,Pit Bull Mix,Fawn/Black,0.10834371108343711
A793809,*Rosemary,07/31/2019 02:59:00 PM,Jul 2019,04/01/2019,Adoption,Foster,1,3,3 months,Domestic Shorthair Mix,Black,0.09838107098381071
A779584,*Johnny Cash,09/09/2018 07:16:00 PM,Sep 2018,04/18/2018,Transfer,Snr,1,2,4 months,Domestic Shorthair Mix,Black,0.10087173100871731
A706847,Timmy,09/05/2015 11:32:00 AM,Sep 2015,07/04/2015,Adoption,Foster,2,1,2 months,Chihuahua Shorthair Mix,Sable/White,0.09589041095890412
A875268,*Basil,04/19/2023 05:51:00 PM,Apr 2023,12/18/2022,Adoption,Foster,2,3,4 months,Australian Cattle Dog Mix,Brown/White,0.10087173100871731
A702090,*Leah,06/16/2015 08:38:00 AM,Jun 2015,04/02/2015,Adoption,Foster,1,3,2 months,Domestic Shorthair Mix,Orange Tabby,0.09589041095890412
A796800,*Ali,07/13/2019 01:53:00 PM,Jul 2019,05/05/2019,Adoption,Foster,1,3,2 months,Domestic Shorthair,Brown Tabby/White,0.09589041095890412
A783252,*Joni,12/26/2020 07:20:00 AM,Dec 2020,10/27/2017,Adoption,Foster,2,3,3 years,Pit Bull/Labrador Retriever,Black,0.18181818181818182
A756379,Murdock,11/12/2017 02:01:00 PM,Nov 2017,08/18/2015,Adoption,Foster,2,2,2 years,German Shepherd Mix,Brown/Black,0.15151515151515152
A765726,*Bella,03/02/2018 04:47:00 PM,Mar 2018,12/23/2017,Adoption,Foster,1,3,2 months,Domestic Shorthair Mix,Brown Tabby,0.09589041095890412
A697050,Amelia,02/17/2015 02:37:00 PM,Feb 2015,02/17/2013,Transfer,Partner,3,0,2 years,Guinea Pig,Red,0.15151515151515152
A750439,Jacobi,06/26/2019 02:57:00 PM,Jun 2019,05/27/2015,Transfer,Partner,2,2,4 years,Pekingese Mix,Black,0.21212121212121213
A688321,*Jenny,09/21/2014 06:14:00 PM,Sep 2014,09/18/2013,Euthanasia,Suffering,1,3,1 year,Domestic Shorthair Mix,Orange Tabby/White,0.12121212121212122
A905646,*Brisket,07/01/2024 12:00:00 AM,Jul 2024,04/20/2024,Adoption,Foster,2,2,2 months,Doberman Pinsch,Black,0.09589041095890412
A851555,*Squeak,02/25/2022 10:46:00 AM,Feb 2022,12/14/2021,Transfer,Out State,2,3,2 months,Chihuahua Shorthair Mix,Black/White,0.09589041095890412
A759380,Manchas,01/10/2018 12:00:00 AM,Jan 2018,10/01/2016,Transfer,Partner,2,2,1 year,Bluetick Hound Mix,White/Tricolor,0.12121212121212122
A704548,*Ian,07/03/2015 07:02:00 PM,Jul 2015,05/06/2015,Adoption,Foster,2,2,1 month,German Shepherd/Boxer,Brown/Black,0.09339975093399751
A740194,Deedee,01/31/2017 12:26:00 PM,Jan 2017,12/12/2014,Transfer,Partner,1,3,2 years,Domestic Medium Hair,Black/White,0.15151515151515152
A867590,Chico,02/20/2023 09:52:00 AM,Feb 2023,10/20/2019,Return to Owner,Field,2,1,3 years,Pit Bull,Black/White,0.18181818181818182
A882877,96 Grams,06/10/2023 12:37:00 PM,Jun 2023,06/09/2023,Transfer,Partner,1,0,1 day,Domestic Shorthair,Brown Tabby/White,0.09099211290992114
A651703,*Jambalaya,11/23/2014 12:27:00 PM,Nov 2014,04/14/2011,Adoption,Foster,2,3,3 years,Pit Bull Mix,White/Blue,0.18181818181818182
A898519,Camelia,02/18/2024 01:25:00 PM,Feb 2024,02/17/2022,Euthanasia,Suffering,2,0,2 years,German Shepherd,Black/Tan,0.15151515151515152
A778192,*Craig,02/19/2019 07:45:00 AM,Feb 2019,03/10/2018,Transfer,Partner,2,2,11 months,Labrador Retriever Mix,Cream,0.11830635118306351
A806698,*Peridot,11/26/2019 08:08:00 AM,Nov 2019,09/02/2019,Adoption,Foster,1,2,2 months,Domestic Shorthair,Brown Tabby/White,0.09589041095890412
A726911,*Mochi,06/07/2016 01:52:00 PM,Jun 2016,05/16/2014,Transfer,Partner,1,2,2 years,Domestic Shorthair Mix,White,0.15151515151515152
A840125,*Shuri,09/13/2021 12:27:00 PM,Sep 2021,07/11/2021,Adoption,Foster,1,3,2 months,Domestic Shorthair,Tortie/White,0.09589041095890412
A785363,Jack,04/05/2019 09:39:00 AM,Apr 2019,02/01/2016,Adoption,Foster,2,2,3 years,Jack Russell Terrier Mix,White/Brown,0.18181818181818182
A783430,Blade,11/06/2018 02:46:00 PM,Nov 2018,04/30/2017,Transfer,Partner,2,1,1 year,Pit Bull/Boxer,Brown Brindle,0.12121212121212122
A742421,Deena,06/25/2019 06:40:00 PM,Jun 2019,01/21/2013,Adoption,Foster,2,3,6 years,Pit Bull Mix,Tan,0.2727272727272727
A712810,Felix,04/15/2017 09:30:00 AM,Apr 2017,09/28/2009,Adoption,Foster,1,2,7 years,Domestic Shorthair Mix,Blue Tabby/White,0.30303030303030304
A749453,Spud,09/10/2020 03:19:00 PM,Sep 2020,05/15/2010,Adoption,Foster,1,2,10 years,Domestic Medium Hair Mix,White/Black,0.3939393939393939
A800164,*Hamilton,11/01/2019 11:28:00 AM,Nov 2019,06/06/2019,Adoption,Foster,1,2,4 months,Domestic Shorthair,Brown Tabby/White,0.10087173100871731
A806702,*Citrine,11/21/2019 11:01:00 AM,Nov 2019,09/02/2019,Adoption,Foster,1,2,2 months,Domestic Shorthair,Brown Tabby/White,0.09589041095890412
A879274,*Daisy,05/08/2023 08:36:00 AM,May 2023,04/24/2022,Transfer,Snr,1,0,1 year,Domestic Shorthair,Black,0.12121212121212122
A662512,*Dazzle,11/21/2013 03:44:00 PM,Nov 2013,07/26/2013,Adoption,Foster,2,3,3 months,Labrador Retriever/Chinese Sharpei,Black/White,0.09838107098381071
A732783,*Henson,09/12/2016 03:54:00 PM,Sep 2016,08/13/2015,Transfer,Partner,1,2,1 year,Domestic Shorthair Mix,Black/White,0.12121212121212122
A774933,*Sal,07/23/2018 05:42:00 PM,Jul 2018,05/07/2018,Adoption,Foster,1,2,2 months,Domestic Medium Hair Mix,Blue Tabby,0.09589041095890412
A729026,*Simon,10/22/2016 04:00:00 PM,Oct 2016,05/05/2016,Transfer,Partner,1,2,5 months,Domestic Shorthair Mix,Brown Tabby/White,0.10336239103362391
A746922,*Marnie,11/01/2017 09:26:00 AM,Nov 2017,03/20/2016,Adoption,Foster,2,3,1 year,Chihuahua Shorthair Mix,Black/White,0.12121212121212122
A780707,*Andy,09/21/2018 03:08:00 PM,Sep 2018,06/27/2018,Transfer,Partner,2,1,2 months,Australian Cattle Dog Mix,White/Brown,0.09589041095890412
A860577,*Camille,07/27/2022 05:20:00 PM,Jul 2022,06/30/2020,Adoption,Foster,2,3,2 years,Plott Hound/Labrador Retriever,Brown Brindle/Black,0.15151515151515152
A840166,*Hank,10/06/2021 11:49:00 AM,Oct 2021,08/03/2020,Adoption,Foster,3,1,1 year,Lop-Mini/Hotot,White/Black,0.12121212121212122
A903461,*Eclair,06/29/2024 12:00:00 AM,Jun 2024,04/16/2024,Adoption,Foster,1,3,2 months,Siamese,Calico Point,0.09589041095890412
A798542,Zero,12/09/2021 12:45:00 PM,Dec 2021,04/20/2019,Transfer,Partner,2,2,2 years,Boxer Mix,Tan/White,0.15151515151515152
A879315,*Louie Bear,07/24/2023 03:25:00 PM,Jul 2023,04/24/2023,Adoption,Foster,2,2,2 months,Boxer Mix,Brown/White,0.09589041095890412
A876167,*Tiffany,03/15/2023 11:37:00 AM,Mar 2023,01/10/2023,Transfer,Partner,2,0,2 months,Labrador Retriever Mix,Black/White,0.09589041095890412
A902965,196 Grams,04/23/2024 06:57:00 PM,Apr 2024,04/09/2024,Transfer,Partner,1,1,2 weeks,Domestic Shorthair,Brown Tabby,0.09207139892071399
A905359,*Eddie,07/02/2024 12:00:00 AM,Jul 2024,04/05/2024,Adoption,Foster,1,2,2 months,Domestic Medium Hair,Black Smoke,0.09589041095890412
A841255,*Hayley,09/05/2021 10:07:00 AM,Sep 2021,08/24/2020,Transfer,Out State,2,3,1 year,Harrier Mix,Brown/Tricolor,0.12121212121212122
A744201,Titus,11/09/2017 12:12:00 PM,Nov 2017,12/25/2016,Transfer,Partner,2,2,10 months,German Shepherd Mix,Sable/White,0.11581569115815692
A710611,Tootsie,08/31/2015 02:23:00 PM,Aug 2015,03/10/2015,Transfer,Partner,2,2,5 months,Dachshund Mix,Brown/White,0.10336239103362391
A748119,Jasper,05/03/2017 04:50:00 PM,May 2017,03/01/2017,Transfer,Partner,2,1,2 months,Great Pyrenees Mix,Cream,0.09589041095890412
A689157,*Azul,10/07/2014 04:07:00 PM,Oct 2014,08/23/2014,Transfer,Partner,1,1,1 month,Domestic Shorthair Mix,Blue Tabby,0.09339975093399751
A901994,79 Grams,04/11/2024 01:43:00 PM,Apr 2024,04/09/2024,Transfer,Partner,1,1,2 days,Domestic Shorthair,Brown Tabby,0.09107513491075135
A824329,Nyx,10/13/2020 01:48:00 PM,Oct 2020,05/12/2020,Transfer,Partner,2,0,5 months,Soft Coated Wheaten Terrier/Border Terrier,Brown/Black,0.10336239103362391
A813622,*Balto,03/02/2020 12:52:00 PM,Mar 2020,11/23/2019,Transfer,Partner,2,1,3 months,Cairn Terrier Mix,Brown,0.09838107098381071
A877542,*Dixon,04/01/2023 11:28:00 AM,Apr 2023,03/28/2011,Transfer,Partner,2,1,12 years,Dachshund,Fawn,0.4545454545454546
A913502,237 Grams,09/17/2024 03:21:00 PM,Sep 2024,08/20/2024,Transfer,Partner,1,1,4 weeks,Domestic Shorthair,Blue Tabby,0.09323370693233707
A873230,*Samosa,02/09/2023 02:31:00 PM,Feb 2023,05/22/2022,Transfer,Partner,1,3,8 months,Domestic Shorthair,Black,0.11083437110834371
A855507,Tiger,04/21/2022 12:00:00 AM,Apr 2022,07/19/2021,Transfer,Snr,1,1,9 months,Domestic Shorthair,Brown Tabby,0.11332503113325032
A742095,*Meeko,01/26/2017 01:09:00 PM,Jan 2017,01/14/2016,Transfer,Partner,2,2,1 year,Chihuahua Shorthair Mix,Blue,0.12121212121212122
A757564,076,10/03/2017 01:48:00 PM,Oct 2017,09/03/2015,Transfer,Partner,2,0,2 years,Labrador Retriever Mix,Black,0.15151515151515152
A711964,Teddy,07/05/2016 09:39:00 AM,Jul 2016,03/14/2015,Adoption,Foster,1,3,1 year,Domestic Shorthair Mix,Blue Tabby,0.12121212121212122
A661049,Kitten,02/29/2020 02:27:00 PM,Feb 2020,08/15/2007,Adoption,Foster,1,3,12 years,Domestic Longhair Mix,Brown Tabby/White,0.4545454545454546
A907004,Jay*,06/27/2024 01:39:00 PM,Jun 2024,04/10/2024,Transfer,Partner,2,1,2 months,Australian Cattle Dog/Pointer,Brown Brindle/White,0.09589041095890412
A902698,*Twilight Sparkle,04/21/2024 04:03:00 PM,Apr 2024,03/30/2024,Transfer,Partner,1,0,3 weeks,Domestic Shorthair,Blue,0.09265255292652554
A861484,Neo,07/16/2022 11:22:00 AM,Jul 2022,07/13/2020,Transfer,Partner,3,0,2 years,Guinea Pig,Tricolor,0.15151515151515152
A777977,*Atlas,09/05/2018 12:07:00 PM,Sep 2018,12/06/2017,Transfer,Partner,2,2,8 months,Labrador Retriever Mix,Tan/White,0.11083437110834371
A710768,*Emily,09/01/2015 01:47:00 PM,Sep 2015,08/27/2012,Transfer,Partner,2,0,3 years,Chihuahua Shorthair Mix,Tan/White,0.18181818181818182
A806551,*Tuffy,11/30/2019 12:16:00 PM,Nov 2019,08/12/2019,Adoption,Foster,2,2,3 months,Chihuahua Shorthair,Black/Brown,0.09838107098381071
A794060,Venus,05/07/2019 05:17:00 PM,May 2019,01/19/2019,Transfer,Partner,2,3,3 months,Belgian Malinois Mix,Tan/Black,0.09838107098381071
A716774,Frick,12/29/2021 08:51:00 AM,Dec 2021,03/11/2012,Adoption,Foster,2,2,9 years,Pit Bull Mix,Red/White,0.36363636363636365
A851297,*Dolly,03/14/2022 12:05:00 PM,Mar 2022,02/09/2020,Transfer,Out State,2,0,2 years,Rottweiler,Black/Tan,0.15151515151515152
A706603,*Maggie,07/28/2015 01:06:00 PM,Jul 2015,06/30/2012,Transfer,Partner,2,0,3 years,Australian Shepherd/Rottweiler,Brown,0.18181818181818182
A773277,*Croissant,05/31/2018 03:02:00 PM,May 2018,05/12/2018,Transfer,Partner,1,0,2 weeks,Domestic Shorthair Mix,Black/White,0.09207139892071399
A829487,Stuart Little,02/25/2021 10:50:00 AM,Feb 2021,02/11/2019,Transfer,Partner,2,2,2 years,German Shepherd,Tan/Black,0.15151515151515152
A717725,Skip,07/21/2018 03:17:00 PM,Jul 2018,12/13/2009,Adoption,Foster,2,2,8 years,German Shepherd Mix,Black,0.33333333333333337
A732018,*Biscuit,08/22/2016 03:28:00 PM,Aug 2016,06/26/2016,Adoption,Foster,2,3,1 month,Labrador Retriever Mix,Buff/Tan,0.09339975093399751
A792475,*Stanley,06/28/2019 05:15:00 PM,Jun 2019,04/11/2019,Adoption,Foster,1,2,2 months,Domestic Longhair Mix,Brown Tabby/White,0.09589041095890412
A865438,*Amesbury,10/06/2022 02:58:00 PM,Oct 2022,09/10/2020,Adoption,Foster,2,2,2 years,English Springer Spaniel Mix,White/Red,0.15151515151515152
A770943,Nova,04/03/2019 12:23:00 PM,Apr 2019,09/27/2017,Adoption,Foster,1,3,1 year,Domestic Shorthair Mix,Tortie,0.12121212121212122
A881810,*Sunny,07/19/2023 11:56:00 AM,Jul 2023,05/17/2023,Adoption,Foster,1,2,2 months,Domestic Shorthair,Orange/White,0.09589041095890412
A623164,Rainbow,09/26/2016 12:00:00 AM,Sep 2016,04/03/2007,Transfer,Partner,2,3,9 years,Chihuahua Shorthair Mix,Tricolor,0.36363636363636365
A891271,*Moxie,12/20/2023 02:44:00 PM,Dec 2023,08/27/2023,Adoption,Foster,1,3,3 months,Domestic Shorthair,Blue Tabby,0.09838107098381071
A843976,*Twinkle,10/11/2021 02:15:00 PM,Oct 2021,06/09/2021,Transfer,Partner,2,0,4 months,Cocker Spaniel/Border Collie,White,0.10087173100871731
A832601,*Daphne - Event,05/01/2021 01:25:00 PM,May 2021,02/01/2021,Adoption,Offsite,2,3,2 months,Labrador Retriever Mix,Brown/Black,0.09589041095890412
A816693,*Stella,05/21/2020 10:41:00 AM,May 2020,10/25/2019,Adoption,Foster,1,3,6 months,Domestic Shorthair,Black,0.10585305105853052
A840664,A840664,08/12/2021 11:52:00 AM,Aug 2021,08/05/2021,Transfer,Partner,3,4,1 week,Rabbit Sh,Gray/White,0.09149024491490246
A703390,*Ripley,07/19/2015 03:54:00 PM,Jul 2015,04/24/2015,Adoption,Foster,1,2,2 months,Domestic Shorthair Mix,Black,0.09589041095890412
A839657,43G,07/25/2021 03:00:00 PM,Jul 2021,07/24/2021,Transfer,Partner,1,0,1 day,Domestic Shorthair,Tortie/White,0.09099211290992114
A670970,Raven,01/20/2014 05:01:00 PM,Jan 2014,11/16/2013,Transfer,Partner,2,3,2 months,Newfoundland/Labrador Retriever,Black/White,0.09589041095890412
A872757,Stella,10/24/2023 05:38:00 PM,Oct 2023,01/14/2020,Adoption,Foster,1,3,3 years,Domestic Shorthair,Black/White,0.18181818181818182
A845843,Luna,11/13/2021 06:31:00 PM,Nov 2021,11/05/2020,Transfer,Out State,2,0,1 year,German Shepherd Mix,Tan/Black,0.12121212121212122
A686463,*Mia,09/15/2014 06:44:00 PM,Sep 2014,07/15/2014,Adoption,Foster,1,3,2 months,Siamese Mix,Lynx Point,0.09589041095890412
A871450,Kai,02/21/2023 11:52:00 AM,Feb 2023,12/23/2020,Transfer,Partner,1,3,2 years,Domestic Shorthair,Orange Tabby/White,0.15151515151515152
A883751,Sam,06/23/2023 03:38:00 PM,Jun 2023,06/23/2021,Return to Owner,Field,2,3,2 years,German Shepherd Mix,Black/Tan,0.15151515151515152
A771739,*Teddy,06/23/2018 07:00:00 PM,Jun 2018,04/13/2018,Adoption,Foster,1,2,2 months,Domestic Shorthair Mix,Orange Tabby,0.09589041095890412
A835871,*Juliet,07/20/2021 08:04:00 AM,Jul 2021,05/02/2021,Adoption,Foster,1,3,2 months,Domestic Longhair,Calico,0.09589041095890412
A691235,Jilly Pattyc,11/29/2014 05:56:00 PM,Nov 2014,09/20/2014,Adoption,Foster,1,3,2 months,Siamese Mix,Lynx Point,0.09589041095890412
A840180,*Belladonna,09/16/2021 09:22:00 AM,Sep 2021,06/18/2021,Adoption,Foster,1,3,2 months,Domestic Shorthair,Black Smoke,0.09589041095890412
A696185,Bailey,02/14/2015 05:46:00 PM,Feb 2015,12/16/2014,Adoption,Foster,2,3,1 month,Australian Shepherd Mix,Brown/Black,0.09339975093399751
A765741,*Logan,03/21/2018 01:42:00 PM,Mar 2018,08/26/2017,Adoption,Foster,1,2,6 months,Siamese Mix,Blue Point,0.10585305105853052
A796313,Brodie,08/24/2019 02:26:00 PM,Aug 2019,05/01/2019,Transfer,Partner,1,2,3 months,Domestic Shorthair,Brown Tabby,0.09838107098381071
A802572,Smith,10/15/2019 01:00:00 PM,Oct 2019,07/03/2019,Adoption,Foster,1,2,3 months,Domestic Shorthair,Orange Tabby/White,0.09838107098381071
A665334,Mcruber,09/09/2014 01:37:00 PM,Sep 2014,10/16/2011,Transfer,Partner,2,2,2 years,Pit Bull Mix,Blue/White,0.15151515151515152
A493761,Shorte,12/29/2017 08:45:00 AM,Dec 2017,12/01/2004,Euthanasia,Suffering,2,2,13 years,Miniature Poodle Mix,White,0.48484848484848486
A687260,Chikis,09/03/2014 01:50:00 PM,Sep 2014,09/02/2011,Transfer,Partner,2,3,3 years,Miniature Schnauzer/Miniature Poodle,Cream,0.18181818181818182
A805357,*Cozino,09/29/2019 02:14:00 PM,Sep 2019,09/25/2018,Transfer,Partner,2,1,1 year,Border Collie,Black/White,0.12121212121212122
A697714,Hypatia,03/03/2015 03:16:00 PM,Mar 2015,08/27/2014,Transfer,Partner,1,0,6 months,Himalayan,Flame Point,0.10585305105853052
A770835,*Rooster,11/03/2018 01:12:00 PM,Nov 2018,04/26/2016,Transfer,Partner,2,2,2 years,Irish Wolfhound Mix,Black/White,0.15151515151515152
A751987,Dogui,06/20/2017 03:34:00 PM,Jun 2017,06/16/2016,Transfer,Partner,2,1,1 year,Chihuahua Shorthair Mix,White/Brown,0.12121212121212122
A815020,Sweety,10/16/2020 09:24:00 AM,Oct 2020,03/09/2016,Adoption,Foster,2,3,4 years,Pit Bull,Black/White,0.21212121212121213
A826395,Max,12/03/2020 01:22:00 PM,Dec 2020,11/26/2017,Euthanasia,Suffering,2,2,3 years,Pit Bull Mix,Tan,0.18181818181818182
A727729,*Paisley,05/29/2016 12:00:00 AM,May 2016,04/26/2016,Transfer,Partner,1,0,4 weeks,Domestic Shorthair Mix,Black Tabby/White,0.09323370693233707
A747000,*Lotus,04/18/2017 11:59:00 AM,Apr 2017,05/12/2016,Transfer,Partner,2,0,11 months,Anatol Shepherd Mix,Tan/White,0.11830635118306351
A861512,Coco,08/09/2022 02:10:00 PM,Aug 2022,07/13/2020,Transfer,Partner,1,3,2 years,Domestic Shorthair,White/Gray,0.15151515151515152
A865617,*Gretchen,07/17/2024 04:39:00 PM,Jul 2024,09/14/2019,Adoption,Foster,1,3,4 years,Domestic Shorthair,Brown Tabby,0.21212121212121213
A701774,*Clive,05/16/2015 02:02:00 PM,May 2015,05/04/2013,Transfer,Partner,1,3,2 years,Domestic Shorthair Mix,Black,0.15151515151515152
A775272,Captain,03/28/2022 11:37:00 AM,Mar 2022,06/27/2017,Transfer,Partner,2,2,4 years,Chihuahua Shorthair/Pug,White/Brown,0.21212121212121213
A739098,*Chutney,12/05/2016 01:56:00 PM,Dec 2016,05/28/2015,Transfer,Partner,1,0,1 year,Domestic Shorthair Mix,Brown Tabby/White,0.12121212121212122
A782000,*Silk,01/03/2019 08:43:00 AM,Jan 2019,09/04/2018,Adoption,Foster,1,3,3 months,Domestic Medium Hair Mix,Black/White,0.09838107098381071
A744522,*Ginger,03/24/2017 12:03:00 PM,Mar 2017,12/18/2016,Transfer,Partner,2,0,3 months,Basset Hound/Chinese Sharpei,Tan,0.09838107098381071
A700565,*Lamar,05/03/2015 07:50:00 PM,May 2015,04/16/2013,Adoption,Offsite,2,2,2 years,Chihuahua Shorthair Mix,Black/White,0.15151515151515152
A754608,*Dora,08/18/2017 01:00:00 PM,Aug 2017,05/26/2017,Transfer,Partner,1,0,2 months,Domestic Shorthair Mix,Torbie,0.09589041095890412
A832865,*Nina,04/30/2021 01:00:00 PM,Apr 2021,04/20/2019,Transfer,Partner,1,3,2 years,Domestic Shorthair,Brown Tabby/White,0.15151515151515152
A708723,*Boogie,09/12/2015 05:33:00 PM,Sep 2015,06/23/2015,Adoption,Foster,1,3,2 months,Domestic Shorthair Mix,Calico,0.09589041095890412
A843091,A843091,09/26/2021 07:15:00 PM,Sep 2021,09/10/2021,Transfer,Partner,1,0,2 weeks,Domestic Shorthair,Blue Tabby,0.09207139892071399
A877533,220 Grams,03/28/2023 04:43:00 PM,Mar 2023,03/25/2023,Transfer,Partner,1,0,3 days,Domestic Shorthair,Orange Tabby,0.09115815691158158
A801445,*Torte,09/24/2019 02:38:00 PM,Sep 2019,06/17/2019,Adoption,Foster,1,3,3 months,Domestic Shorthair,Brown Tabby,0.09838107098381071
A688177,Kacy,10/08/2014 06:29:00 PM,Oct 2014,03/15/2013,Transfer,Partner,3,0,1 year,Rabbit Sh Mix,Black,0.12121212121212122
A885516,Lola,07/24/2023 12:59:00 PM,Jul 2023,07/21/2014,Transfer,Partner,2,3,9 years,Yorkshire Terrier/Toy Poodle,Black/Tan,0.36363636363636365
A777635,*Eeyore,09/25/2018 04:10:00 PM,Sep 2018,07/27/2018,Adoption,Foster,1,2,1 month,Domestic Shorthair Mix,Blue,0.09339975093399751
A695216,*Missy,01/17/2015 08:54:00 PM,Jan 2015,01/11/2007,Adoption,Offsite,2,3,8 years,Chihuahua Shorthair Mix,Brown/White,0.33333333333333337
A792773,*Bill,06/22/2019 04:00:00 PM,Jun 2019,04/15/2019,Adoption,Foster,1,2,2 months,Domestic Medium Hair Mix,Orange Tabby,0.09589041095890412
A864122,*Sandy,09/27/2022 08:37:00 AM,Sep 2022,07/10/2022,Adoption,Foster,2,2,2 months,Pit Bull Mix,Tan/Black,0.09589041095890412
A688222,Kassidy,09/21/2014 01:53:00 PM,Sep 2014,07/16/2014,Adoption,Offsite,2,3,2 months,Border Collie Mix,Black/White,0.09589041095890412
A814762,Paisley,03/25/2020 08:08:00 AM,Mar 2020,03/12/2012,Adoption,Foster,1,3,8 years,Domestic Shorthair,Calico,0.33333333333333337
A798492,Radar,06/27/2019 03:48:00 PM,Jun 2019,06/26/2011,Transfer,Partner,2,1,8 years,Yorkshire Terrier,Brown/Black,0.33333333333333337
A889252,Daisy,10/26/2023 04:02:00 PM,Oct 2023,09/19/2022,Adoption,Foster,2,3,1 year,Miniature Poodle Mix,Tan/White,0.12121212121212122
A712229,*Ginger,11/10/2015 02:25:00 PM,Nov 2015,08/28/2015,Adoption,Foster,1,2,2 months,Domestic Shorthair Mix,Orange Tabby,0.09589041095890412
A882747,882747,06/09/2023 03:17:00 PM,Jun 2023,06/08/2021,Euthanasia,Rabies Risk,3,4,2 years,Raccoon,Gray/Black,0.15151515151515152
A684398,Multipass,08/13/2014 06:14:00 PM,Aug 2014,06/01/2014,Adoption,Foster,2,3,2 months,Chihuahua Shorthair Mix,Black/Brown,0.09589041095890412
A830486,Romulus,03/12/2021 05:57:00 PM,Mar 2021,03/10/2020,Transfer,Snr,1,2,1 year,Domestic Shorthair,Gray,0.12121212121212122
A808184,Girl,11/06/2019 12:00:00 AM,Nov 2019,11/05/2015,Transfer,Partner,2,0,4 years,Chihuahua Shorthair,Brown/Tricolor,0.21212121212121213
A714756,Pierre,11/01/2015 02:23:00 PM,Nov 2015,04/28/2012,Transfer,Partner,1,3,3 years,Domestic Shorthair Mix,Blue,0.18181818181818182
A747211,*Daffodil,04/28/2017 01:37:00 PM,Apr 2017,10/16/2015,Transfer,Partner,2,3,1 year,Pit Bull Mix,Blue/White,0.12121212121212122
A673914,*Ruby,03/26/2014 03:48:00 PM,Mar 2014,03/04/2012,Transfer,Partner,1,3,2 years,Domestic Medium Hair Mix,Orange Tabby,0.15151515151515152
A784863,Cookie Bear,01/03/2019 04:12:00 PM,Jan 2019,11/08/2018,Adoption,Foster,2,2,1 month,Labrador Retriever Mix,Brown,0.09339975093399751
A812436,Max,01/28/2020 12:03:00 PM,Jan 2020,10/22/2018,Transfer,Partner,2,2,1 year,Cairn Terrier,Brown/Black,0.12121212121212122
A836024,*Squeak,08/13/2021 02:59:00 PM,Aug 2021,04/29/2021,Adoption,Foster,1,3,3 months,Snowshoe Mix,Lynx Point,0.09838107098381071
A815513,*Harmony,03/31/2020 09:19:00 AM,Mar 2020,03/17/2015,Adoption,Foster,2,3,5 years,Labrador Retriever Mix,Tan,0.24242424242424243
A850584,*Ivan,02/25/2022 10:34:00 AM,Feb 2022,01/27/2021,Transfer,Out State,2,2,1 year,Australian Cattle Dog,Blue Tick,0.12121212121212122
A829331,*Hank,03/10/2021 04:31:00 PM,Mar 2021,04/08/2020,Adoption,Foster,2,2,11 months,Chihuahua Shorthair,Black/Brown,0.11830635118306351
A840497,*Naomi,10/12/2021 04:01:00 PM,Oct 2021,08/09/2016,Adoption,Foster,2,3,5 years,Chihuahua Shorthair Mix,Black,0.24242424242424243
A863800,*Ziti,09/09/2022 04:20:00 PM,Sep 2022,07/10/2022,Adoption,Foster,1,2,1 month,Domestic Shorthair,Orange Tabby,0.09339975093399751
A711186,Jody,12/04/2018 11:39:00 AM,Dec 2018,09/04/2008,Adoption,Foster,2,2,10 years,Rat Terrier/Chihuahua Shorthair,White,0.3939393939393939
A755113,*Heathcliff,08/21/2017 12:48:00 PM,Aug 2017,07/29/2010,Transfer,Partner,1,2,7 years,Domestic Shorthair Mix,Cream Tabby,0.30303030303030304
A904754,*Hei Hei (Mayday),09/02/2024 01:37:00 PM,Sep 2024,12/13/2023,Transfer,Partner,2,1,8 months,Australian Cattle Dog Mix,Tricolor,0.11083437110834371
A818759,*Dolly,07/23/2020 12:22:00 PM,Jul 2020,05/01/2020,Adoption,Foster,1,3,2 months,Domestic Shorthair,Brown Tabby,0.09589041095890412
A840879,Zeus,08/20/2021 03:06:00 PM,Aug 2021,04/01/2021,Transfer,Partner,2,2,4 months,Australian Shepherd,Black/White,0.10087173100871731
A748940,*Mavi,06/14/2017 08:33:00 AM,Jun 2017,04/08/2017,Adoption,Foster,1,2,2 months,Russian Blue Mix,Blue,0.09589041095890412
A856120,*Rose,06/07/2022 02:00:00 PM,Jun 2022,03/28/2022,Adoption,Foster,1,3,2 months,Domestic Shorthair,Calico,0.09589041095890412
